Date,Time,Map Name,Azhan Placement,Raj Placement,Sameer Placement,Azhan Kart,Raj Kart,Sameer Kart,Azhan Racetime,Raj Racetime,Sameer Racetime
2024-11-18,09:50:09,Shanghai,1,2,3,The Kart,Monstro,Snowmobile,1:23.04,1:23.04,1:23.04
2024-11-19,09:50:20,Snowville,1,2,3,The Kart,Monstro,Snowmobile,1:23.04,1:23.04,1:23.04
2024-11-19,09:50:23,Shanghai,1,2,3,The Kart,Monstro,Snowmobile,1:23.04,1:23.04,1:23.04
2024-11-13,09:50:34,Shanghai by Night,3,2,1,Monstro,Greedy Snowmobile,Greedy Snowmobile,1:23.04,1:23.04,1:23.04
2024-11-19,09:50:43,Shanghai,3,2,1,Monstro,Greedy Snowmobile,Greedy Snowmobile,1:23.04,1:23.04,1:23.04
2024-11-19,09:50:44,Snowville,3,2,1,Monstro,Greedy Snowmobile,Greedy Snowmobile,1:23.04,1:23.04,1:23.04
2024-11-19,09:50:52,Shanghai,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR
2024-11-19,10:05:51,Shanghai,2,3,0,The Kart,The Kart,DNR,1:23.04,1:23.04,DNR
2024-11-19,10:05:59,Shanghai by Night,2,3,0,The Kart,The Kart,DNR,1:23.04,1:23.04,DNR
2024-11-19,10:06:02,Shanghai by Night,2,3,0,The Kart,The Kart,DNR,1:23.04,1:23.04,DNR
2024-11-19,10:06:06,Snowville,2,3,0,The Kart,The Kart,DNR,1:23.04,1:23.04,DNR
2024-11-19,10:08:32,Shanghai by Night,0,1,0,DNR,Bat Kart,DNR,DNR,1:23.04,DNR
2024-11-19,10:08:43,Snowville,0,1,0,DNR,Bat Kart,DNR,DNR,1:23.04,DNR
2024-11-19,10:08:57,Shanghai by Night,0,1,0,DNR,Bat Kart,DNR,DNR,1:23.04,DNR
2024-11-18,09:50:44,Snowville,3,2,1,Monstro,Greedy Snowmobile,Greedy Snowmobile,1:23.04,1:23.04,1:23.04
2024-11-19,10:33:48,Shanghai by Night,1,2,3,The Kart,Bat Kart,Greedy Snowmobile,01:19.45,01:39.45,01:49.45
2024-11-19,10:35:19,Shanghai,4,5,7,Monstro,The Kart,Bat Kart,1:03.3,1:33.3,1:34.3
2024-11-19,10:40:26,Shanghai by Night,4,2,1,Bat Kart,Monstro,The Kart,1:23.42,1:33.42,1:43.42
2024-11-19,10:40:31,Snowville,4,2,1,Bat Kart,Monstro,The Kart,1:23.42,1:33.42,1:43.42
